Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
2020S01,S1   2020,2020,S,Semi-annual,0,World,0,All ships,1863718,
2020S01,S1   2020,2020,S,Semi-annual,0,World,1,Passenger ships,951245,
2020S01,S1   2020,2020,S,Semi-annual,0,World,2,Liquid bulk carriers,243100,
2020S01,S1   2020,2020,S,Semi-annual,0,World,3,Container ships,225347,
2020S01,S1   2020,2020,S,Semi-annual,0,World,4,Dry breakbulk carriers,201473,
2020S01,S1   2020,2020,S,Semi-annual,0,World,5,Dry bulk carriers,129748,
2020S01,S1   2020,2020,S,Semi-annual,0,World,6,Roll-on/ roll-off ships,80998,
2020S01,S1   2020,2020,S,Semi-annual,0,World,7,Liquefied petroleum gas carriers,25689,
2020S01,S1   2020,2020,S,Semi-annual,0,World,8,Liquefied natural gas carriers,6118,
2020S01,S1   2020,2020,S,Semi-annual,36,Australia,0,All ships,30312,
2020S01,S1   2020,2020,S,Semi-annual,36,Australia,1,Passenger ships,16428,
2020S01,S1   2020,2020,S,Semi-annual,36,Australia,2,Liquid bulk carriers,1672,
2020S01,S1   2020,2020,S,Semi-annual,36,Australia,3,Container ships,1884,
2020S01,S1   2020,2020,S,Semi-annual,36,Australia,4,Dry breakbulk carriers,844,
2020S01,S1   2020,2020,S,Semi-annual,36,Australia,5,Dry bulk carriers,7387,
2020S01,S1   2020,2020,S,Semi-annual,36,Australia,6,Roll-on/ roll-off ships,1313,
2020S01,S1   2020,2020,S,Semi-annual,36,Australia,7,Liquefied petroleum gas carriers,203,
2020S01,S1   2020,2020,S,Semi-annual,36,Australia,8,Liquefied natural gas carriers,581,
2020S01,S1   2020,2020,S,Semi-annual,124,Canada,0,All ships,45235,
2020S01,S1   2020,2020,S,Semi-annual,124,Canada,1,Passenger ships,33925,
2020S01,S1   2020,2020,S,Semi-annual,124,Canada,2,Liquid bulk carriers,2170,
2020S01,S1   2020,2020,S,Semi-annual,124,Canada,3,Container ships,1001,
2020S01,S1   2020,2020,S,Semi-annual,124,Canada,4,Dry breakbulk carriers,924,
2020S01,S1   2020,2020,S,Semi-annual,124,Canada,5,Dry bulk carriers,4970,
2020S01,S1   2020,2020,S,Semi-annual,124,Canada,6,Roll-on/ roll-off ships,2224,
2020S01,S1   2020,2020,S,Semi-annual,124,Canada,7,Liquefied petroleum gas carriers,21,
